timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952198.6547844,0,-45,-61,-71,-81
1772952199.1554744,0,-46,-62,-70,-83
1772952199.6558428,0,-46,-64,-72,-83
1772952200.1563063,0,-46,-64,-72,-84
1772952200.6568177,0,-47,-65,-69,-84
1772952201.1576896,0,-45,-66,-70,-84
1772952201.6581848,0,-47,-68,-69,-83
1772952202.1589015,0,-47,-69,-69,-83
1772952202.6595285,0,-46,-70,-73,-82
1772952203.1600823,0,-42,-69,-73,-80
1772952203.6605675,0,-43,-67,-73,-79
1772952204.1611135,0,-44,-66,-74,-78
1772952204.6613004,0,-45,-71,-75,-80
1772952205.1617937,0,-45,-69,-72,-78
1772952205.662261,0,-47,-68,-73,-78
1772952206.162635,0,-48,-70,-71,-78
1772952206.6632113,0,-48,-71,-70,-77
1772952207.1636617,0,-46,-68,-67,-77
1772952207.6643183,0,-44,-69,-67,-75
1772952208.1645124,0,-44,-68,-65,-79
1772952208.665131,0,-46,-71,-65,-82
1772952209.165549,0,-45,-68,-67,-78
1772952209.6658258,0,-45,-64,-69,-79
1772952210.1664066,0,-45,-65,-67,-78
1772952210.6668527,0,-42,-66,-68,-80
1772952211.1670532,0,-43,-66,-70,-79
1772952211.6675708,0,-43,-66,-72,-83
1772952212.1678443,0,-42,-65,-73,-81
1772952212.6682677,0,-44,-60,-74,-84
1772952213.1686273,0,-44,-61,-73,-84
1772952213.6690333,0,-44,-60,-74,-84
1772952214.1694968,0,-47,-61,-71,-83
1772952214.669953,0,-46,-60,-70,-82
1772952215.1700385,0,-46,-61,-72,-85
1772952215.6705227,0,-46,-64,-73,-85
1772952216.1707106,0,-47,-65,-70,-85
1772952216.670846,0,-47,-65,-72,-82
1772952217.171156,0,-45,-66,-73,-81
1772952217.671783,0,-44,-66,-68,-79
1772952218.1723316,0,-43,-62,-71,-77
