timestamp,label,rssi_AA_BB_CC_11_22_33,rssi_AA_BB_CC_44_55_66,rssi_AA_BB_CC_77_88_99,rssi_AA_BB_CC_AA_BB_CC
1772952575.4179103,1,-40,-65,-73,-87
1772952575.918166,1,-38,-64,-80,-76
1772952576.4188492,1,-41,-71,-72,-76
1772952576.919938,1,-43,-55,-68,-76
1772952577.4198701,1,-47,-64,-71,-80
1772952577.9208422,1,-43,-65,-74,-73
1772952578.4212875,1,-42,-66,-74,-83
1772952578.9217398,1,-39,-63,-68,-79
1772952579.4224446,1,-40,-60,-75,-73
1772952579.9228585,1,-43,-70,-72,-81
1772952580.423257,1,-38,-72,-72,-83
1772952580.92379,1,-40,-65,-65,-83
1772952581.4243696,1,-40,-73,-69,-79
1772952581.9247174,1,-46,-68,-77,-76
1772952582.4250782,1,-42,-71,-80,-79
1772952582.925752,1,-47,-67,-79,-82
1772952583.4259996,1,-39,-73,-78,-81
1772952583.9267468,1,-44,-67,-71,-82
1772952584.4274526,1,-54,-67,-69,-76
1772952584.9278297,1,-46,-70,-72,-82
1772952585.4286141,1,-41,-70,-85,-85
1772952585.929277,1,-46,-62,-80,-86
1772952586.4295998,1,-47,-63,-75,-90
1772952586.9301903,1,-45,-69,-83,-86
1772952587.4309392,1,-51,-66,-76,-90
1772952587.931399,1,-50,-65,-76,-93
1772952588.431856,1,-42,-64,-80,-87
1772952588.932509,1,-44,-64,-81,-89
1772952589.433109,1,-49,-71,-83,-98
1772952589.9336236,1,-40,-71,-81,-95
1772952590.4339697,1,-46,-71,-83,-89
1772952590.9345584,1,-44,-72,-83,-88
1772952591.4349346,1,-44,-72,-81,-85
1772952591.9353147,1,-45,-79,-83,-86
1772952592.4357176,1,-37,-68,-81,-84
1772952592.936035,1,-41,-65,-84,-80
1772952593.4363685,1,-40,-73,-82,-84
1772952593.9365458,1,-43,-67,-85,-85
1772952594.436765,1,-44,-66,-87,-78
1772952594.9371552,1,-46,-64,-82,-84
1772952595.437588,1,-47,-65,-84,-87
1772952595.937728,1,-48,-71,-77,-90
1772952596.4384904,1,-51,-65,-73,-87
1772952596.9385107,1,-47,-74,-78,-90
1772952597.4392576,1,-49,-60,-78,-93
1772952597.9398634,1,-48,-68,-69,-91
1772952598.4408238,1,-46,-64,-77,-82
1772952598.9415152,1,-47,-63,-73,-84
1772952599.4421523,1,-47,-64,-78,-87
1772952599.9426856,1,-41,-69,-82,-86
1772952600.4430747,1,-41,-53,-75,-89
1772952600.9437659,1,-43,-59,-71,-77
1772952601.444145,1,-39,-55,-73,-81
1772952601.9445093,1,-47,-51,-68,-77
1772952602.4448733,1,-43,-60,-67,-76
1772952602.9452727,1,-47,-59,-69,-78
1772952603.4457135,1,-47,-61,-61,-83
1772952603.9461672,1,-42,-56,-73,-78
1772952604.446685,1,-42,-58,-73,-73
1772952604.946927,1,-42,-60,-73,-75
